City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nunoa,PE,-14.48,-70.6411,38.61,44,26,3.18,scattered clouds
80,Airai,TL,-8.9266,125.4092,73.85,45,68,2.75,broken clouds
81,Vestmannaeyjar,IS,63.4427,-20.2734,38.17,61,97,13.62,overcast clouds
82,Bredasdorp,ZA,-34.5322,20.0403,62.6,88,100,8.05,light rain
83,Hasaki,JP,35.7333,140.8333,72.0,24,20,13.8,few clouds
84,Albany,US,42.6001,-73.9662,46.0,88,78,3.78,broken clouds
85,Nikolskoye,RU,59.7035,30.7861,42.8,61,0,6.71,clear sky
86,Lagoa,PT,39.05,-27.9833,60.57,84,95,10.65,overcast clouds
87,Olinda,BR,-8.0089,-34.8553,71.6,88,20,4.61,few clouds
88,Husavik,IS,66.0449,-17.3389,35.6,48,0,9.22,clear sky
89,Paveh,IR,35.0434,46.3565,53.6,54,75,4.7,broken clouds
90,Bethel,US,41.3712,-73.414,48.0,76,20,4.61,few clouds
91,Kinablangan,PH,7.6947,126.5503,89.74,54,100,1.63,overcast clouds
92,Mabay,PH,6.0577,124.4666,89.6,58,40,6.91,scattered clouds
93,Benidorm,ES,38.5382,-0.131,54.0,87,61,12.86,broken clouds
94,Porto Walter,BR,-8.2686,-72.7439,72.32,93,98,1.99,overcast clouds
95,Hithadhoo,MV,-0.6,73.0833,82.69,67,82,5.3,broken clouds
96,Carutapera,BR,-1.195,-46.02,75.42,93,100,3.06,overcast clouds
97,Hilo,US,19.7297,-155.09,75.2,73,40,6.91,light rain
98,Grand Gaube,MU,-20.0064,57.6608,82.99,75,70,8.01,broken clouds
99,Atasu,KZ,48.6814,71.6433,51.19,63,60,15.93,broken clouds
100,New Norfolk,AU,-42.7826,147.0587,66.0,60,91,8.99,overcast clouds
101,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,75,1,11.5,clear sky
102,Samarkand,UZ,39.6542,66.9597,69.8,30,50,11.5,scattered clouds
103,Asau,RO,46.4333,26.4,42.01,65,100,0.43,overcast clouds
104,Constitucion,CL,-35.3333,-72.4167,54.55,69,36,2.95,scattered clouds
105,Port Elizabeth,ZA,-33.918,25.5701,66.2,82,75,31.07,broken clouds
106,Avera,US,33.194,-82.5271,60.8,82,40,6.76,scattered clouds
107,Havoysund,NO,70.9963,24.6622,37.4,70,0,19.57,clear sky
108,Lebu,CL,-37.6167,-73.65,55.85,88,54,11.7,broken clouds
109,Atuona,PF,-9.8,-139.0333,80.15,80,21,19.04,light rain
110,Warrington,GB,53.3925,-2.5802,41.0,87,35,4.03,scattered clouds
111,Enshi,CN,30.3,109.4833,59.77,86,92,0.36,overcast clouds
112,Ribeira Grande,PT,38.5167,-28.7,61.45,88,74,9.24,broken clouds
113,Minab,IR,27.1467,57.0801,80.6,57,20,4.61,few clouds
114,Oranjemund,NA,-28.55,16.4333,63.07,76,32,6.46,scattered clouds
115,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,70.99,99,100,0.85,overcast clouds
116,Kimbe,PG,-5.5502,150.1429,86.0,70,91,6.46,light rain
117,Ballina,AU,-28.8667,153.5667,75.2,64,75,12.66,broken clouds
118,North Bend,US,43.4065,-124.2243,46.99,93,90,1.61,overcast clouds
119,Iquitos,PE,-3.7481,-73.2472,73.4,94,75,1.14,broken clouds
120,Orapa,BW,-21.2833,25.3667,53.01,62,0,7.99,clear sky
121,Goirle,NL,51.5167,5.05,41.0,93,32,2.3,mist
122,Dikson,RU,73.5069,80.5464,3.61,97,100,10.47,overcast clouds
123,Carinhanha,BR,-14.3047,-43.765,72.91,67,100,2.64,overcast clouds
124,Bambous Virieux,MU,-20.3428,57.7575,82.99,89,75,10.36,light rain
125,Chokurdakh,RU,70.6333,147.9167,13.82,88,29,9.6,scattered clouds
126,Monte Patria,CL,-30.6919,-70.9467,64.47,62,0,1.99,clear sky
127,Bedi,IN,22.5,70.05,87.48,53,71,9.8,broken clouds
128,Torbay,CA,47.6666,-52.7314,36.0,100,90,2.3,light rain
129,Guelph,CA,43.5501,-80.2497,39.99,75,1,3.44,clear sky
130,Merauke,ID,-8.4667,140.3333,83.43,74,54,9.69,moderate rain
131,Necochea,AR,-38.5473,-58.7368,63.0,95,48,11.01,scattered clouds
132,Dauphin,CA,51.1494,-100.0502,24.8,68,1,5.75,clear sky
133,Thompson,CA,55.7435,-97.8558,23.0,58,40,6.91,scattered clouds
134,Myitkyina,MM,25.3833,97.4,95.65,27,6,2.33,clear sky
135,Faanui,PF,-16.4833,-151.75,82.9,69,0,13.33,clear sky
136,Whitehorse,CA,60.7161,-135.0538,46.4,42,1,5.75,clear sky
137,Tiksi,RU,71.6872,128.8694,12.85,80,94,10.04,overcast clouds
138,Namatanai,PG,-3.6667,152.4333,86.07,66,91,7.2,light rain
139,Geraldton,AU,-28.7667,114.6,75.2,46,15,17.27,few clouds
140,Hambantota,LK,6.1241,81.1185,87.8,74,20,9.22,few clouds
141,Makurdi,NG,7.7411,8.5121,78.48,72,94,6.15,overcast clouds
142,Bengkulu,ID,-3.8004,102.2655,84.13,66,20,7.52,few clouds
143,Beyneu,KZ,45.3167,55.2,68.13,40,66,17.76,broken clouds
144,Karaj,IR,35.8355,51.0103,71.6,41,75,4.9,haze
145,Ferkessedougou,CI,9.6,-5.2,79.63,59,94,8.16,overcast clouds
146,Saskylakh,RU,71.9167,114.0833,9.86,85,96,11.72,overcast clouds
147,Mahebourg,MU,-20.4081,57.7,78.8,89,75,10.36,light rain
148,Cabo San Lucas,MX,22.8909,-109.9124,69.8,73,1,14.72,clear sky
149,Polson,US,47.6936,-114.1632,32.0,100,100,11.99,light snow
150,Shache,CN,38.4167,77.2406,68.79,20,99,13.29,overcast clouds
151,Mandalgovi,MN,45.7625,106.2708,54.0,27,25,8.63,scattered clouds
152,Nantucket,US,41.2835,-70.0995,46.4,87,1,9.22,clear sky
153,Haapiti,PF,-17.5667,-149.8667,82.4,74,20,4.61,few clouds
154,Yellowknife,CA,62.456,-114.3525,35.6,60,40,4.61,scattered clouds
155,Kongolo,CD,-5.3833,27.0,69.04,94,91,3.98,overcast clouds
156,Slave Lake,CA,55.2834,-114.769,35.6,60,1,4.61,clear sky
157,Ruteng,ID,-8.6136,120.4721,76.1,48,95,1.05,overcast clouds
158,Trabzon,TR,40.9167,39.8333,59.0,82,75,0.92,broken clouds
159,Mananjary,MG,-21.2167,48.3333,69.39,79,100,6.53,overcast clouds
160,Margate,GB,51.3813,1.3862,41.0,82,0,1.99,clear sky
161,Presidente Medici,BR,-11.1753,-61.9014,71.31,97,87,2.66,overcast clouds
162,Ulagan,RU,50.6321,87.9563,50.52,42,81,13.02,broken clouds
163,Komsomolskiy,UZ,40.4272,71.7189,60.8,55,67,4.61,broken clouds
164,Harnosand,SE,62.6323,17.9379,28.4,93,0,3.44,clear sky
165,Sobolevo,RU,54.4299,31.8996,43.38,84,95,9.62,overcast clouds
166,Luanda,AO,-8.8368,13.2343,80.6,94,75,6.91,broken clouds
167,Faya,SA,18.3851,42.4509,62.6,31,0,6.91,clear sky
168,Carnarvon,AU,-24.8667,113.6333,79.59,52,0,18.16,clear sky
169,Ponta Delgada,PT,37.7333,-25.6667,59.0,88,20,5.75,few clouds
170,Chuy,UY,-33.6971,-53.4616,61.72,78,38,6.96,scattered clouds
171,Pachino,IT,36.7186,15.0907,48.2,93,75,9.22,broken clouds
172,Barrow,US,71.2906,-156.7887,26.6,74,1,9.22,clear sky
173,Cidreira,BR,-30.1811,-50.2056,71.51,62,44,9.4,scattered clouds
174,Maniitsoq,GL,65.4167,-52.9,16.65,61,93,13.47,overcast clouds
175,Kavaratti,IN,10.5669,72.642,83.84,69,15,4.56,few clouds
176,Sisimiut,GL,66.9395,-53.6735,16.88,68,100,16.73,overcast clouds
177,Itaituba,BR,-4.2761,-55.9836,71.55,99,100,1.1,overcast clouds
178,Luganville,VU,-15.5333,167.1667,83.98,73,95,5.59,overcast clouds
179,Mogadishu,SO,2.0371,45.3438,80.6,69,75,5.75,broken clouds
180,Tautira,PF,-17.7333,-149.15,82.4,74,20,4.61,few clouds
181,Avarua,CK,-21.2078,-159.775,80.6,78,75,13.8,light rain
182,Clyde River,CA,70.4692,-68.5914,3.2,85,90,11.5,light snow
183,Aykhal,RU,66.0,111.5,10.94,65,80,4.23,broken clouds
184,Egvekinot,RU,66.3167,-179.1667,27.12,93,100,6.89,overcast clouds
185,Dakoro,NE,14.5106,6.765,81.05,7,42,5.03,scattered clouds
186,Osorno,CL,-40.5667,-73.15,59.0,92,90,10.36,overcast clouds
187,Kenora,CA,49.8167,-94.4337,26.6,63,90,8.05,light snow
188,Erlenbach,DE,49.1725,9.2683,44.01,83,99,3.42,light rain
189,Qaanaaq,GL,77.484,-69.3632,2.01,75,100,5.12,overcast clouds
190,Sorong,ID,-0.8833,131.25,82.13,72,85,5.41,overcast clouds
191,Elbistan,TR,38.2059,37.1983,64.27,47,100,0.54,overcast clouds
192,Batagay-Alyta,RU,67.8006,130.4114,14.04,70,99,3.47,overcast clouds
193,Bandarbeyla,SO,9.4942,50.8122,83.89,71,17,9.75,few clouds
194,Lazaro Cardenas,MX,17.9583,-102.2,72.12,69,3,5.08,clear sky
195,Rio Gallegos,AR,-51.6226,-69.2181,50.0,76,40,5.75,scattered clouds
196,Tabuk,PH,17.4189,121.4443,78.98,65,89,15.26,overcast clouds
197,Farmington,US,36.7281,-108.2187,48.2,27,1,5.75,clear sky
198,Victoria,HK,22.2855,114.1577,77.0,50,20,20.71,few clouds
199,Brae,GB,60.3964,-1.353,44.6,81,99,13.8,overcast clouds
200,San Patricio,US,28.017,-97.5169,61.0,94,75,3.44,broken clouds
201,Havre,FR,49.5833,0.3333,37.4,87,0,5.75,clear sky
202,Katobu,ID,-4.9408,122.5276,86.4,59,92,5.99,overcast clouds
203,Esperance,AU,-33.8667,121.9,73.4,49,47,14.97,scattered clouds
204,Nome,US,64.5011,-165.4064,37.0,80,90,3.44,overcast clouds
205,Guerrero Negro,MX,27.9769,-114.0611,60.19,88,0,10.51,clear sky
206,Trinidad,BO,-14.8333,-64.9,72.93,95,32,2.37,scattered clouds
207,Jonuta,MX,18.0833,-92.1333,78.49,75,53,5.32,broken clouds
208,Bubaque,GW,11.2833,-15.8333,77.36,68,65,9.26,broken clouds
209,Luderitz,NA,-26.6481,15.1594,72.88,48,7,4.92,clear sky
210,Mana,GF,5.6592,-53.7767,75.58,87,80,7.99,broken clouds
211,Bathsheba,BB,13.2167,-59.5167,78.8,61,20,19.57,few clouds
212,Verkhnyaya Inta,RU,65.9811,60.3094,19.96,84,100,14.7,overcast clouds
213,Mastic Beach,US,40.7668,-72.8521,48.99,81,1,3.44,clear sky
214,Libreville,GA,0.3925,9.4537,75.2,94,40,4.61,scattered clouds
215,Antsohihy,MG,-14.8796,47.9875,77.77,74,25,11.25,scattered clouds
216,Salalah,OM,17.0151,54.0924,82.4,69,40,3.44,scattered clouds
217,Hami,CN,42.8,93.45,71.15,16,81,11.95,broken clouds
218,Georgetown,MY,5.4112,100.3354,87.8,70,40,9.22,scattered clouds
219,Tripoli,LY,32.8752,13.1875,57.63,72,4,5.88,clear sky
220,Sterling,US,39.0062,-77.4286,52.0,76,90,4.61,overcast clouds
221,Auchtermuchty,GB,56.2916,-3.2343,45.0,88,79,1.5,broken clouds
222,Calama,CL,-22.4667,-68.9333,46.4,36,0,16.11,clear sky
223,Coquimbo,CL,-29.9533,-71.3436,57.2,88,90,4.61,overcast clouds
224,Amet,IN,25.3,73.9333,94.12,13,97,14.54,overcast clouds
225,Beringovskiy,RU,63.05,179.3167,32.77,95,86,2.3,overcast clouds
226,Xai-Xai,MZ,-25.0519,33.6442,63.16,79,0,4.03,clear sky
227,Yerbogachen,RU,61.2767,108.0108,32.88,51,98,11.77,overcast clouds
228,Tilichiki,RU,60.4667,166.1,30.9,99,91,4.83,overcast clouds
229,San Jeronimo,PE,-11.9472,-75.2829,44.92,87,48,3.31,scattered clouds
230,Tsiroanomandidy,MG,-18.7667,46.0333,64.58,80,16,4.47,few clouds
231,Bagdarin,RU,54.4333,113.6,34.41,19,26,6.42,scattered clouds
232,Gat,IL,31.61,34.7642,81.0,49,0,2.3,clear sky
233,Baherden,TM,38.4362,57.4316,79.29,19,98,6.91,overcast clouds
234,Laje,BR,-10.1833,-40.9667,67.73,90,72,2.82,broken clouds
235,Elat,IL,29.5581,34.9482,71.6,60,0,1.39,clear sky
236,Rosita,NI,13.9268,-84.4032,75.74,94,80,0.51,broken clouds
237,Sayyan,YE,15.1718,44.3244,60.12,32,73,10.33,broken clouds
238,Nioro,GM,13.35,-15.75,77.05,40,46,3.74,scattered clouds
239,Kodiak,US,57.79,-152.4072,48.2,66,20,11.5,few clouds
240,Aberdeen,GB,57.1437,-2.0981,42.01,93,88,10.36,overcast clouds
241,Jingdezhen,CN,29.2947,117.2079,66.07,68,98,0.54,overcast clouds
242,Carstairs,CA,51.5668,-114.102,30.2,86,71,8.05,snow
243,Vestmanna,FO,62.1564,-7.1664,41.0,87,100,2.3,overcast clouds
244,Naze,JP,28.3667,129.4833,73.4,49,20,14.97,few clouds
245,Kargil,IN,34.5667,76.1,35.06,38,54,2.35,broken clouds
246,Puro,PH,12.4841,123.3827,77.29,89,100,18.12,very heavy rain
247,Kushmurun,KZ,52.4503,64.6311,32.74,36,71,18.1,broken clouds
248,Nanortalik,GL,60.1432,-45.2371,30.33,52,62,5.53,broken clouds
249,Birao,CF,10.2849,22.7882,78.6,15,100,0.34,overcast clouds
250,Isangel,VU,-19.55,169.2667,87.8,74,40,6.91,scattered clouds
251,Coahuayana,MX,18.7333,-103.6833,66.61,77,0,3.2,clear sky
252,Bonoua,CI,5.2741,-3.595,77.0,94,20,6.91,few clouds
253,Quatre Cocos,MU,-20.2078,57.7625,82.99,89,75,10.36,light rain
254,Walvis Bay,NA,-22.9575,14.5053,82.0,44,8,13.42,clear sky
255,Tromso,NO,69.6496,18.957,41.0,65,20,17.27,few clouds
256,Safaga,EG,26.7292,33.9365,75.2,33,0,4.43,clear sky
257,Puerto Carreno,CO,6.189,-67.4859,78.8,63,97,3.04,overcast clouds
258,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.2,65,20,20.13,few clouds
259,Sicamous,CA,50.8331,-118.9856,51.8,32,19,4.61,few clouds
260,Butembo,CD,0.15,29.2833,61.97,78,76,2.95,broken clouds
261,Mutoko,ZW,-17.397,32.2268,52.43,85,39,2.26,scattered clouds
262,Alappuzha,IN,9.49,76.3264,84.0,72,95,2.35,overcast clouds
263,Belmonte,BR,-15.8631,-38.8828,73.4,88,20,4.61,few clouds
264,Solnechnyy,RU,50.7214,136.6319,37.71,83,100,12.37,overcast clouds
265,Maple Creek,CA,49.9168,-109.4848,32.0,74,98,9.22,overcast clouds
266,Songjianghe,CN,42.1859,127.479,66.36,19,97,13.22,overcast clouds
267,Seoul,KR,37.5683,126.9778,68.0,45,0,12.66,clear sky
268,Nemuro,JP,43.3236,145.575,53.6,47,75,8.05,broken clouds
269,Sohag,EG,26.557,31.6948,73.4,28,0,8.05,clear sky
270,Sami,GM,13.5833,-15.2,76.21,43,41,4.76,scattered clouds
271,Ancud,CL,-41.8697,-73.8203,57.2,100,90,13.8,light rain
272,Grindavik,IS,63.8424,-22.4338,32.0,93,75,3.44,broken clouds
273,Gunnedah,AU,-30.9833,150.25,73.0,45,0,1.01,clear sky
274,Iqaluit,CA,63.7506,-68.5145,14.0,73,75,2.3,broken clouds
275,Ostrovnoy,RU,68.0531,39.5131,32.92,83,100,19.26,overcast clouds
276,Morros,BR,-9.4467,-46.3003,70.92,91,100,3.42,overcast clouds
277,Vardo,NO,70.3705,31.1107,33.8,64,0,8.05,clear sky
278,Mount Isa,AU,-20.7333,139.5,89.6,22,5,12.66,clear sky
279,Kununurra,AU,-15.7667,128.7333,89.6,27,8,5.75,clear sky
280,Sorrento,IT,40.626,14.3744,48.0,100,99,6.58,overcast clouds
281,Yei,SS,4.095,30.6779,71.2,83,93,4.45,overcast clouds
282,Pajapan,MX,18.25,-94.7,72.79,85,50,6.73,scattered clouds
283,Yar-Sale,RU,66.8333,70.8333,8.42,92,88,8.79,overcast clouds
284,Homer,US,59.6425,-151.5483,53.6,54,1,4.61,clear sky
285,Bukama,CD,-9.2,25.85,65.61,85,65,1.63,broken clouds
286,Santa Maria Del Oro,MX,25.9333,-105.3667,59.0,30,51,8.66,broken clouds
287,Harwich,GB,51.9419,1.2844,39.0,86,0,4.0,clear sky
288,Touros,BR,-5.1989,-35.4608,75.2,94,75,5.75,broken clouds
289,Kharp,RU,66.8014,65.8081,14.14,81,76,7.99,broken clouds
290,Riachao Das Neves,BR,-11.7461,-44.91,70.21,91,100,0.83,overcast clouds
291,Benxi,CN,41.2886,123.765,75.2,22,0,17.9,clear sky
292,Lukovetskiy,RU,64.2956,41.9211,33.8,51,0,2.24,clear sky
293,Lata,PT,40.1629,-8.3327,57.0,85,100,3.0,overcast clouds
294,Narsaq,GL,60.9167,-46.05,28.4,34,90,10.36,overcast clouds
295,Yulara,AU,-25.2406,130.9889,73.4,20,0,9.22,clear sky
296,Pemangkat,ID,1.1667,108.9667,85.35,66,48,10.09,scattered clouds
297,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.09,98,93,2.13,overcast clouds
298,Aquiraz,BR,-3.9014,-38.3911,80.6,83,40,3.44,scattered clouds
299,Velingara,SN,13.15,-14.1167,78.76,61,84,7.23,broken clouds
300,Emerald,AU,-23.5333,148.1667,82.4,34,0,8.05,clear sky
301,Conceicao Da Barra,BR,-18.5933,-39.7322,72.36,95,20,5.7,few clouds
302,Saint-Joseph,RE,-21.3667,55.6167,77.0,83,90,14.97,light rain
303,Kralendijk,BQ,12.15,-68.2667,80.6,78,75,18.41,broken clouds
304,Smithers,CA,54.7804,-127.1743,50.0,27,1,5.75,clear sky
305,Saldanha,ZA,-33.0117,17.9442,64.4,82,59,8.05,broken clouds
306,Vanimo,PG,-2.6741,141.3028,80.31,80,82,1.61,broken clouds
307,Kamenka,RU,51.3223,42.7678,51.01,76,83,6.53,broken clouds
308,Makakilo City,US,21.3469,-158.0858,78.8,57,1,10.36,clear sky
309,Krasnoznamensk,RU,55.5994,37.0386,48.2,53,0,15.66,clear sky
310,Naushahro Firoz,PK,26.8424,68.123,98.29,16,76,3.0,broken clouds
311,Terrace,CA,54.5163,-128.6035,55.4,26,1,5.75,clear sky
312,Alyangula,AU,-13.8483,136.4192,89.6,51,90,8.05,overcast clouds
313,Puerto Escondido,MX,15.85,-97.0667,78.8,83,1,2.3,clear sky
314,Kalakamati,BW,-20.5929,27.3121,39.2,93,0,1.14,clear sky
315,Karlshamn,SE,56.1706,14.8619,42.01,81,0,10.36,clear sky
316,Laguna,US,38.421,-121.4238,69.8,42,1,4.61,clear sky
317,College,US,64.8569,-147.8028,55.4,40,20,3.62,few clouds
